"SongNumber","Title","ArtistName","AlbumName","ArtistLatitude","ArtistLongitude","ArtistLocation","Duration","Loudness","Hotness","Tempo","Year","KeySignature","KeySignatureConfidence","TimeSignature","TimeSignatureConfidence"
55,"Cuando Ya Me Empiece A Quedar Solo","Sui Generis","Adios Sui Generis Vol III",,,,335.33342,-16.111,"nan",107.592,1973,7,0.685,4,0.735
56,"Medley Final","Kassav'","Se Nou Manm (Live Au Zenith)",,,,655.67302,-8.294,"nan",134.086,0,9,0.404,4,0
57,"L'Amour en Heritage","Alain Morisod","20 Melodies pour rever_ Volume 2",,,,241.65832,-19.449,0,134.254,0,7,0.693,4,0
58,"L.A. Arteest Café","Stew","Something Deeper Than These Changes",40.71455,-74.00712,"New York",299.07546,-14.023,0,117.367,2003,4,0.797,4,0.661
59,"Beautiful","Eminem","Beautiful",,,"St. Joseph MO",397.60934,-7.038,"nan",131.955,2009,5,1,4,0.722
60,"On Tha Rox","King Tee","Tha Triflin' Album",,,"Los Angeles CA",109.13914,-6.211,0.4253042417,183.437,0,6,0.176,4,0
61,"They Know (Remix)","Rick Ross","Legendary",,,"Miami",105.40363,-8.451,0.2998774883,121.708,0,7,0.506,1,1
62,"Snow [Hey Oh] [Live Version]","Red Hot Chili Peppers","Snow [Hey Oh] [Live]",,,,319.55546,-4.144,"nan",106.575,0,8,0.442,4,0.231
63,"Absolute Horizon","Byzantine","Oblivion Beckons",,,,300.01587,-5.663,0.518759898,198.016,2008,0,0.586,4,0.239
64,"Life Is Real","Ayo","Joyful",,,"United States",534.62159,-9.158,"nan",122.91,2006,0,0.443,4,1
65,"Le clair de lune à maubeuge","Bézu","Bézu le roi de la fête",,,"Bézu comme Superdupont ne connait qu&#039;un pays : la France !",155.48036,-5.772,"nan",123.294,0,8,0.232,4,0.984
66,"Letters to Norway","Planetakis","Out of the Club Into the Night",,,,234.73587,-2.019,"nan",137.936,2007,0,0.33,4,0.333
67,"Turnpike","Halfway to Gone","Halfway to Gone",,,,255.42485,-5.544,0.5419660194,122.624,2004,6,0.011,4,1
68,"j Uh!","Juana Molina","Tres Cosas",,,,213.26322,-19.775,0.6265859803,46.867,2004,2,0.415,1,0
69,"The First Leaves Of Autumn","The Fureys","The Fureys Finest",,,,198.5824,-20.975,0.2150803185,94.804,0,0,0.706,4,0.5
70,"Maybe Someday...","Simply Red","Men And Women",,,"İngiltere",258.08934,-9.38,0.5614285176,83.73,1987,0,0.012,4,0.766
71,"Silence","Mothers Pride","Halfpastheartache",47.04954,8.30437,"Lucerne",244.71465,-6.155,0,79.252,0,7,0.678,4,0.185
72,"Bright Lights_ Big City","Jim Jones / Max B","Jim Jones / Hustler's P.O.M.E. (Product Of My Environment)",,,"New Mexico",256.39138,-6.888,"nan",106.756,0,1,0.959,5,1
73,"Spoonful","Robben Ford","Soul On Ten",39.15093,-123.2079,"Ukiah CA",367.98649,-6.626,0.3759843015,126.42,2009,2,0,4,0.267
74,"Still Love Remains (Album Version)","Seal","Human Being",,,"Paddington London England",354.76853,-11.918,0.507531546,153.731,1998,5,0.486,4,0.523
75,"Seventy Times Seven (LP Version)","David Meece","David Meece/Chronology",,,,268.01587,-13.474,0.2658610492,119.437,0,9,0.428,4,0.978
76,"Backseat Driver","Debbie Davies","Round Every Corner",34.05349,-118.24532,"Los Angeles CA",243.30404,-5.981,0.2538347361,125.05,1998,9,0.045,4,0.413
77,"Slips Of Paper","Dave Brockie Experience","Songs For The Wrong",,,,126.4322,-6.293,0.3231121209,138.156,2003,1,0.491,1,0
78,"Engel","Der Plan","Live At The Tiki Ballroom...",,,,218.67057,-15.429,"nan",30.048,0,11,0.234,1,0
79,"Mesmerise The Future Part 1","Emotion Code","Mesmerise the Future",,,,503.48363,-17.825,0,120.066,0,5,0.15,4,0
80,"More Than Vocals (MTV)","Natural Elements","1999: 10 Year Anniversary",,,,246.67383,-12.69,0,107.927,0,1,0,1,0.434
81,"Death of Me","Smash Palace","Fast_ Long_ Loud",,,"New Jersey",274.442,-6.672,"nan",118.959,0,0,0,4,0.531
82,"Refuge","Matisyahu","Live at Stubb's",40.65507,-73.94888,"Brooklyn NY",242.15465,-8.702,"nan",72.884,2004,4,0.313,4,0.068
83,"Sentimento (Asteri_ Asteraki)","Dakis","Moments",,,,210.52036,-8.918,"nan",111.946,0,1,0.554,5,0.203
84,"The Lord Will Go Before You","Janet Paschal","The Good Road",35.21962,-80.01955,"North Carolina",207.69914,-10.204,"nan",180.121,0,6,0.313,3,0.32
85,"Old Memory","Ashton Shepherd","Sounds So Good",,,,260.51873,-6.857,0.5254971189,45.508,2008,3,0.562,4,0.439
86,"Oh Little Town Of Bethlehem","Sergio Franchi","The Heart Of Christmas",42.50382,12.57347,"Italy",165.74649,-14.431,0.4253042417,78.841,0,10,0.252,1,0
87,"Sex","Bow Wow Wow","Girl Bites Dog_ Your Compact Disc Pet",51.50632,-0.12714,"London England",167.83628,-12.324,"nan",137.398,0,4,0.2,4,0.197
88,"Mary Had A Little Lamb","Stevie Ray Vaughan And Double Trouble","Soul To Soul/ Texas Flood/ Couldn't Stand The Weather",32.77815,-96.7954,"Dallas TX",166.73914,-14.373,"nan",122.546,1988,8,0.649,4,0.454
89,"Skylark","Ann Hampton Callaway","Easy Living",,,,347.79383,-17.462,0.6101227561,63.134,0,10,0.184,5,0.859
90,"SAMJHO NA","F-4","F4-Tu To Na Aai",,,,262.19057,-5.983,"nan",126.934,0,5,0.382,4,0.396
91,"The wrong woman","Billy Price_ Fred Chapellier","Night work",,,"Pennsylvania",280.55465,-7.597,0.2120454055,118.136,0,9,0.106,1,0
92,"MVP","Corey / Shaquille O'Neal","I'm Just Corey",,,"Atlanta GA",261.45914,-5.228,0,131.98,0,7,0.942,4,1
93,"The Sun Shine Down My Way","Doug MacLeod","DUBB",40.71455,-74.00712,"New York NY",337.42322,-10.516,0.248166624,85.56,2004,2,1,3,1
94,"Neighbor_ Neighbor","Jimmy Hughes","The Best of Jimmy Hughes",34.80046,-87.67525,"Florence AL",177.26649,-6.953,0.5763999813,122.152,0,4,0.689,4,0
95,"Den Mporo Na Figo","Angela Dimitriou","Mia Vradia Stin Fantasia No.1",,,,99.7873,-11.947,"nan",129.972,0,5,0.001,3,0.658
96,"Between Hell and A Heartbeat [Explicit]","Hatebreed (int License)","Hatebreed [Explicit]",41.30711,-72.92496,"New Haven CT",174.28853,-3.731,0.6290718356,82.69,0,6,0.075,4,0.453
97,"This Ain't Pleasure","L7","Bricks Are Heavy",34.05349,-118.24532,"Los Angeles CA",163.13424,-9.429,0.6014631395,85.82,1992,2,0.177,3,0.238
98,"Man  On The Side","Bill Perry","Raw Deal",41.36149,-74.27362,"Chester NY",217.88689,-6.623,0,107.083,2004,9,0.138,4,0.995
99,"Hear Me Talking To You","Ma Rainey","Mother Of The Blues_ CD E",32.46292,-84.98763,"Columbus GA",183.53587,-14.853,"nan",103.054,0,11,0.644,1,0
100,"Trace Of Time","Emotion Code","Mesmerise the Future",,,,319.7122,-15.857,0,119.534,0,10,0.666,3,1
101,"Existing Alone","Rhian Sheehan","Paradigm Shift",-41.28054,174.76714,"Wellington",288.62649,-17.549,0.2707759989,42.782,2001,1,0.752,1,0
102,"Mule Get Up In The Alley","Cannon's Jug Stompers","The Cornshucker's Frolic: Classic Recordings From The 1920's & 30's_ Vol. 2",,,,167.88853,-16.521,"nan",95.227,0,2,0.503,4,0
103,"Black Tiger","Y&T","Open Fire",37.87869,-121.94345,"San Francisco Bay Area",275.9571,-8.112,0.3347065491,170.773,1982,6,0.44,4,0.332
104,"Telling Me Lies","Dolores Keane","Solid Ground",,,,229.92934,-14.375,0,114.093,1993,9,0.56,4,0.717
105,"Reach For The Ground","The Ghost Of Lemora","Reach For The Ground",51.50632,-0.12714,"London",208.69179,-7.105,0.4689466842,136.89,0,11,0.34,4,0.626
106,"Zélé","Yodi's","Zèlé",,,,300.5122,-9.432,"nan",84.672,0,6,0.348,4,1
107,"Small Axe","Bob Marley","Lively Up Yourself",,,,224.96608,-9.715,"nan",101.121,1999,11,0.769,1,0.084
108,"Le bar du grand désir","Michèle Bernard","Mes premiers vinyls",,,,232.38485,-12.838,"nan",83.116,2002,2,0.061,4,0.805
109,"Hot Cross Bun","Mikey Dread","Rockers Vibration",18.11526,-77.27348,"Jamaica",193.12281,-8.173,"nan",132.088,1982,6,0.195,4,0.674
110,"I'll Show You Love","Usher","Usher",,,"Atlanta GA",283.89832,-7.275,0.419125893,90.199,1994,1,0.066,4,1
111,"Nena Neurótica","Alejandro Lerner","20 Años",,,,199.54893,-5.585,"nan",140.186,0,9,0.446,4,0
112,"I'm Gonna Make Her Mine - Original","Billy Butler","Billy Butler's Sugar Candy Lady",39.95227,-75.16237,"Philadelphia PA",213.99465,-28.107,"nan",113.204,0,4,0.505,4,0.438
113,"Heard 'Em Say","Kanye West / Adam Levine","Heard 'Em Say",,,"Atlanta GA",204.5122,-11.38,"nan",95.098,2005,6,0,4,1
114,"Love Ain't A Play Thing","Earl Hooker","Two Bugs And A Roach",34.19451,-90.5651,"Clarksdale MS",298.91873,-14.476,0.3347065491,94.1,1968,2,0.59,3,0.895
115,"Paint Ball","Mario Rosenstock","Gift Grub 8 - The G Factor",,,,199.57506,-11.924,"nan",84.871,0,0,0.548,3,0.586
116,"Please Come Home For Christmas","Lou Ann Barton","An Austin Rhythm And Blues Christmas",30.2676,-97.74298,"Austin TX",241.26649,-10.733,0.4540427661,87.485,1986,3,0.367,3,0.286
117,"Calling Dr Zarkov","Robin Frederick","How Far? How Fast?",34.05349,-118.24532,"Los Angeles",272.01261,-12.237,0,119.727,0,3,0.081,4,0
118,"I Know A Man","Rev. Timothy Wright","Who's On The Lord's Side ""Live",,,,244.74077,-6.094,"nan",208.51,0,1,0.632,4,0.406
119,"I See War","IYOV","Allt Är Skit_ Jämt",,,,257.4624,-4.063,0,104.928,0,7,0.237,4,1
120,"Sting Me","The Black Crowes","The Southern Harmony And Musical Companion",,,"Atlanta GA",348.89098,-7.349,"nan",97.672,1992,0,0.646,4,0.363
121,"Cooling Out","Cocoa Tea","Authorized",,,"Kingston Jamaica",241.29261,-11.368,0,99.894,1992,0,0.808,3,0.906
122,"Brother Brick Says","Claw Hammer","Claw Hammer",,,,231.28771,-6.914,"nan",204.066,0,7,0.513,4,0
123,"Lioraras","Los Ninos De Sara","Espana tiene sabor",,,,226.58567,-6.195,0,115.021,0,6,0.591,4,1
124,"Little Drummer Boy","The Almost","X Christmas",,,"Salt Lake City UT",187.11465,-7.387,0.5695051989,163.975,2008,7,0.433,4,1
125,"If You Think You Are Lonely Now","Kashief Lindo","Solid Soul",,,,190.37995,-6.68,"nan",147.659,0,3,0.451,3,0.73
126,"Anita Love's","Carlos Jimenez","Anita Love's",,,"NY - New York City",324.98893,-8.232,"nan",127.99,0,1,0.448,4,0.54
127,"You're Looking Good","Dee Clark","Greatest Hits",34.7519,-92.13055,"Blythesville AR",133.3024,-12.632,"nan",111.422,2000,7,0.359,4,0.773
128,"Mercy (Album Version)","Darwin Hobbs","Mercy",,,,307.69587,-10.44,0.2338956168,89.941,0,7,0.551,4,0.505
129,"Studen plamuk","Sofi Marinova","100 Unforgettable Bulgarian Pop Songs By Songwriter Jivko Kolev - Part I",,,,190.17098,-4.978,0,145.924,0,0,0.758,4,0.827
130,"UBIK The Breakz (feat. Martin Bettinghaus) - Radio Mix","Timo Maas","Dope Radio",,,,132.15302,-18.516,0.5114243257,76.57,0,3,0.085,3,0.727
131,"Silencio De Aguas Profundas","Alas","Mimame Bandoneón",27.9758,-81.54106,"Florida",628.21832,-15.442,"nan",77.364,0,7,0.215,1,0.635
132,"Lost In The Funhouse Again","Michael Stanley Band","You Break It...You Bought It!",,,,220.05506,-12.253,0.2506381007,140.654,1975,2,0.58,1,0
133,"Time Zone (Album Version)","Lauren Wood","Lauren Wood",34.05349,-118.24532,"California - LA",352.33914,-16.137,0.2349154802,168.861,0,1,0.725,5,0.62
134,"Just Like Lightnin'","Joe Satriani","Satriani Live",,,"Westbury Long Island NY",300.82567,-5.943,0.5937951137,197.443,2006,0,0.683,4,1
135,"If Your Na Na Get Wet","Baby Bash","Menage a trois",,,"Houston TX",309.4722,-4.754,"nan",155.979,0,10,0.294,4,0.542
136,"Cri'r Adar Main","The Gentle Good","While You Slept I Went Out Walking",,,,197.19791,-12,"nan",111.537,0,0,0.343,1,0
137,"We're Together Again","Ray Pillow","Country And Western - Volume 1",37.41402,-79.14284,"Lynchburg VA",129.12281,-13.404,0.2120454055,98.015,1998,9,0.716,4,0.083
138,"Escape From The City","John Williams","War of the Worlds",,,"NEW YORK New York",229.69424,-20.958,"nan",151.444,0,7,0.885,5,0.885
139,"No One Knows","George Nooks","Better Days",,,,222.14485,-6.735,0,85.994,0,7,0.438,4,0.59
140,"The White Spirit","Uman","Conversations with God: A Windham Hill Collection",50.50101,4.47684,"Belgium",319.08526,-16.062,0.5527051139,160.048,0,9,0.556,4,0.565
141,"Gone","Frankie J","The One",,,"Tijuana Mexico/San Diego California",273.00526,-6.728,0.5227332608,117.844,2005,4,0,4,1
142,"Mine Again","Mariah Carey","The Emancipation of Mimi",,,"Hunington Long Island NY",241.65832,-9.635,"nan",131.761,2005,3,0.034,4,0.554
143,"The Keys","Jerry Goldsmith","L.A. Confidential",34.05349,-118.24532,"Los Angeles CA",110.70649,-28.19,"nan",130.908,1997,5,0.342,4,0.606
144,"The Blue Side of The Sun","Sigmatropic","Dark Outside",,,,263.57506,-8.511,0.2538347361,128.006,2007,1,0.438,4,0
145,"Prelude In C Minor From The Well Tempered-Clavier","Steve Erquiaga","The Bach Variations",,,,184.29342,-23.966,0.5571877675,116.949,0,4,0.663,1,0
146,"Firedance","Mystic Rhythms Band","Music For Dancing",,,,206.2624,-8.913,"nan",140.834,0,8,0.595,4,1
147,"Proud","Korn","I KNOW WHAT YOU DID LAST SUMMER THE ALBUM",,,"Bakersfield CA",197.53751,-4.347,"nan",80.375,1996,2,0,3,0.93
148,"Hopelessly","Epitaph","Epitaph",,,"台北 Taiwan",494.21016,-11.017,0.3864772913,144.84,0,7,0.332,5,0.971
149,"New Detroit","Neon Blonde","Chandeliers In The Savannah",,,,170.70975,-5.059,0.5231750547,139.562,2005,7,0.891,1,0.085
150,"Love Can Run Faster","Robert Palmer","Double Fun",,,"Batley England",247.95383,-17.664,0.4454545255,119.389,1978,11,0.417,4,1
151,"da da Diamonds","Soul Ballet","LAViSH",,,,224.86159,-6.769,0.5114243257,106.01,2007,9,0.573,4,0.942
152,"Juste Une Fois","Alexis HK","L'homme Du Moment",,,,98.66404,-15.615,0.4809342128,96.082,2004,4,0.043,5,0.007
153,"Let's Have Some Fun","Rodney O_ Joe Cooley","The Best of Rodney O and Joe Cooley",,,,222.24934,-11.255,0.4081108835,99.612,1995,6,0.006,4,1
154,"Livin' A Lie (Video Mix)","Milk Inc.","Double Cream",,,,204.25098,-6.62,0.5135170285,141.008,2001,7,0.779,4,0
155,"Boogie","Wilks featuring pee wee ellis","Brightess night",,,,210.80771,-11.302,"nan",89.026,0,1,0.046,4,1
156,"Boulevard In Heaven","Barbara Fairchild","He Kept On Loving Me",63.03654,-149.10568,"Knobel AK",236.56444,-8.961,"nan",91.739,0,9,0.373,5,0.558
157,"Two Four One","Dave And Ansel Collins","Double Barrel",18.11526,-77.27348,"Jamaica",151.84934,-14.3,0.2623089972,117.157,1971,2,0.395,4,0
158,"Thresh Hold","Uphill Battle","Wreck of Nerves",34.47326,-119.05505,"Ventura County CA",166.37342,-1.545,0.2603382426,108.252,2004,7,0.235,7,0.57
159,"I'll Come Running","Connie Smith","The Essential Connie Smith",41.68676,-85.97567,"Elkhart IN",125.67465,-9.089,0.4274465715,124.916,2001,4,0.036,4,0
160,"Broken Promises (album version)","Moments In Grace","Moonlight Survived",,,,195.91791,-6.214,0.4051157217,145.147,2004,10,0.318,4,0.48
161,"Stagger Lee","Nick Cave & The Bad Seeds","Murder Ballads",-36.35484,146.32611,"Wangaratta Victoria Australia",315.08853,-9.29,0.4764352196,153.768,1996,7,0.768,4,0.559
162,"Mambo del Beso","Orquesta Aragón","Mambó Inspiración - Primeras Grabaciones 1953-1955",21.51102,-77.80679,"Cuba",182.85669,-16.394,"nan",131.568,0,6,0.622,1,0
163,"Yang Guang He Xu","Steve Chou","Happy Etude",,,,270.10567,-9.592,"nan",131.889,0,6,0.719,4,0.733
164,"Now everybody's gone","Salieri","Electric Doorbells",,,,238.81098,-20.865,"nan",86.55,0,4,0.526,3,0.842
165,"I.A.I","Royal S","Attitude Identitaire",47.49852,8.73299,"Winterthur Switzerland",95.9473,-6.29,"nan",92.969,0,2,0.054,4,1
166,"Mi Amante Amigo","Rocio Jurado","15 Exitos Originales Con Rocio Jurado",,,,238.05342,-17.172,"nan",159.026,0,9,0.484,4,0.716
167,"Hot Tamale Baby","Buckwheat Zydeco","Best Of/20th Century",,,"Lafayette LA",246.49098,-7.822,0.4961753357,124.577,1987,6,0.125,4,0.863
168,"Everything I Desire","The Brooklyn Tabernacle Choir","Praise Him...Live!",,,,226.66404,-11.907,0,162.987,1995,8,0.718,4,1
169,"I Don't Give A F**K","D.O.W.N.","Southern Slang (Chopped & Screwed)",,,,265.66485,-7.425,"nan",109.659,0,1,0.788,4,0.805
170,"Wake Up! Wake Up! (Wake Up! Wake Up! Album Version)","Everyday Sunday","Wake Up! Wake Up!",,,"Columbus OH",168.95955,-4.017,0.6014029389,151.844,2007,1,0.683,4,0
171,"Lian Ai Tian Chi","Kary Ng","Lian Ai Tian Cai",,,,188.36853,-3.616,"nan",90.139,0,6,0.57,5,0.976
172,"Better Off That Way","Steve Smith","This Town",42.08317,-71.01724,"Brockton MA",270.99383,-7.992,0.2291441037,159.621,0,7,1,4,0.485
173,"Tenderly","Billy May & His Orchestra","All Of Me",,,,147.59138,-22.729,0,64.79,0,1,0.506,1,0.994
174,"Anxiety","Humanzi","Diet Pills & Magazines",53.34376,-6.24953,"Dublin Ireland",110.78485,-3.853,"nan",186.141,0,7,0.765,4,0.665
175,"Spirit in My Life (Earnshaw's Instrumental)","Cedric Gervais Featuring Caroline","Spirit in My Life",,,,396.5122,-10.047,"nan",84.676,0,6,0.441,5,0.966
176,"If My Baby (LP Version)","Mista","Mista",,,,259.3171,-5.2,"nan",169.722,0,1,0,4,0.297
177,"Ice Cream Cakes","Jeff Beck Group","Original Album Classics",,,,340.34893,-13.637,0.3475928508,98.087,1972,2,0.815,5,0.545
178,"Assisted Suicide 2.5","X-Raided","The Unforgiven Vol. 2.5",,,,247.37914,-10.069,"nan",84.973,0,7,0.179,4,0.982
179,"Groove It","Gene Latter","Groove It",,,,167.00036,-13.135,"nan",86.949,0,4,0.096,4,0.312
180,"Informer","Sugar Minott","Dance Hall Showcase Vol. II",18.01571,-76.79731,"Kingston Jamaica",226.40281,-5.627,0.3725300394,154.585,2008,11,0.314,4,1
181,"Shagi po bitomu steklu","Malina","Malina.Org.azm.ru",43.8814,10.23522,"Viareggio Italy",239.72526,-5.497,0,153.998,0,11,0.691,4,0.519
182,"The Army Air Corps","The King Sisters & Alvino Rey","In The Mood",,,,163.97016,-10.814,"nan",100.72,0,4,0.513,4,0.358
